"","site_no","site_nm","huc_cd","huc4","huc4_nm"
"1","06768000","Platte River near Overton, Nebr.","10200101","1020","Platte"
"2","06805500","Platte River at Louisville, Nebr.","10200202","1020","Platte"
"3","06775900","Dismal River near Thedford, Nebr.","10210002","1021","Loup"
"4","06794000","Beaver Creek at Genoa, Nebr.","10210009","1021","Loup"
"5","06800000","Maple Creek near Nickerson, Nebr.","10220003","1022","Elkhorn"
"6","06800500","Elkhorn River at Waterloo, Nebr.","10220003","1022","Elkhorn"
"7","06610000","Missouri River at Omaha, NE","10230006","1023","Missouri-Little Sioux"
"8","06609500","Boyer River at Logan, IA","10230007","1023","Missouri-Little Sioux"
"9","06810000","Nishnabotna River above Hamburg, IA","10240004","1024","Missouri-Nishnabotna"
"10","06818000","Missouri River at St. Joseph, MO","10240011","1024","Missouri-Nishnabotna"
"11","06844500","Republican River near Orleans, Nebr.","10250009","1025","Republican"
"12","06856600","REPUBLICAN R AT CLAY CENTER, KS","10250017","1025","Republican"
"13","06877600","SMOKY HILL R AT ENTERPRISE, KS","10260008","1026","Smoky Hill"
"14","06874000","SF SOLOMON R AT OSBORNE, KS","10260014","1026","Smoky Hill"
"15","06887500","KANSAS R AT WAMEGO, KS","10270102","1027","Kansas"
"16","06892350","KANSAS R AT DESOTO, KS","10270104","1027","Kansas"
"17","06902000","Grand River near Sumner, MO","10280103","1028","Chariton-Grand"
"18","06905500","Chariton River near Prairie Hill, MO","10280202","1028","Chariton-Grand"
"19","06921070","Pomme de Terre River near Polk, MO","10290107","1029","Gasconade-Osage"
"20","06926510","Osage River below St. Thomas, MO","10290111","1029","Gasconade-Osage"
"21","06894000","Little Blue River near Lake City, MO","10300101","1030","Lower Missouri"
"22","06934500","Missouri River at Hermann, MO","10300200","1030","Lower Missouri"
