"","site_no","station_nm","huc_cd","site_tp_cd","dec_lat_va","dec_long_va","parm_cd_D","data_type_cd_D","stat_cd_D","srs_id_D","begin_date_D","end_date_D","count_nu_D","parm_cd_N","data_type_cd_N","stat_cd_N","srs_id_N","begin_date_N","end_date_N","count_nu_N","parm_cd_P","data_type_cd_P","stat_cd_P","srs_id_P","begin_date_P","end_date_P","count_nu_P"
"1","06768000","Platte River near Overton, Nebr.","10200101","ST",40.6825,-99.5405556,"00060","dv","00003",1645423,1930-10-01,2019-10-30,32537,"00600","qw",NA,52450988,1978-10-24,2013-09-24,161,"00665","qw",NA,153049,1978-10-24,2013-09-24,164
"2","06768000","Platte River near Overton, Nebr.","10200101","ST",40.6825,-99.5405556,"00060","qw",NA,1645423,1959-10-01,1998-02-26,115,"00600","qw",NA,52450988,1978-10-24,2013-09-24,161,"00665","qw",NA,153049,1978-10-24,2013-09-24,164
"3","06768000","Platte River near Overton, Nebr.","10200101","ST",40.6825,-99.5405556,"00060","uv",NA,1645423,1998-01-14,2019-10-31,7960,"00600","qw",NA,52450988,1978-10-24,2013-09-24,161,"00665","qw",NA,153049,1978-10-24,2013-09-24,164
"4","06770500","Platte River near Grand Island, Nebr.","10200101","ST",40.8744567,-98.2820044,"00060","dv","00003",1645423,1934-04-01,2019-10-30,31259,"00600","qw",NA,52450988,1973-04-11,1999-09-14,262,"00665","qw",NA,153049,1973-04-11,2011-06-29,263
"5","06770500","Platte River near Grand Island, Nebr.","10200101","ST",40.8744567,-98.2820044,"00060","uv",NA,1645423,1990-10-01,2019-10-31,10622,"00600","qw",NA,52450988,1973-04-11,1999-09-14,262,"00665","qw",NA,153049,1973-04-11,2011-06-29,263
"6","06772000","WOOD RIVER NEAR ALDA, NEBR.","10200102","ST",40.8522222,-98.4744444,"00060","dv","00003",1645423,1953-10-01,1998-09-29,16101,"00600","qw",NA,52450988,1974-04-10,2003-07-26,64,"00665","qw",NA,153049,1974-04-10,2003-07-26,65
"7","06772000","WOOD RIVER NEAR ALDA, NEBR.","10200102","ST",40.8522222,-98.4744444,"00060","uv",NA,1645423,1991-03-17,1994-09-30,1293,"00600","qw",NA,52450988,1974-04-10,2003-07-26,64,"00665","qw",NA,153049,1974-04-10,2003-07-26,65
"8","06772500","WOOD RIVER NR CHAPMAN NEBR","10200102","ST",40.96556795,-98.2064478,"00060","qw",NA,1645423,1957-09-20,1975-10-08,137,"00600","qw",NA,52450988,1968-07-08,1980-09-17,87,"00665","qw",NA,153049,1969-12-11,1980-09-17,97
"9","06774000","Platte River near Duncan, Nebr.","10200103","ST",41.3683333,-97.4952778,"00060","dv","00003",1645423,1895-05-03,2019-10-30,33456,"00600","qw",NA,52450988,1968-07-31,1999-09-15,163,"00665","qw",NA,153049,1969-07-26,2012-06-05,213
"10","06774000","Platte River near Duncan, Nebr.","10200103","ST",41.3683333,-97.4952778,"00060","qw",NA,1645423,1964-09-18,1974-09-25,149,"00600","qw",NA,52450988,1968-07-31,1999-09-15,163,"00665","qw",NA,153049,1969-07-26,2012-06-05,213
"11","06774000","Platte River near Duncan, Nebr.","10200103","ST",41.3683333,-97.4952778,"00060","uv",NA,1645423,1991-05-10,2019-10-31,10401,"00600","qw",NA,52450988,1968-07-31,1999-09-15,163,"00665","qw",NA,153049,1969-07-26,2012-06-05,213
"12","06795500","Shell Creek near Columbus, Nebr.","10200201","ST",41.5261111,-97.2816667,"00060","dv","00003",1645423,1947-09-01,2019-10-30,10458,"00600","qw",NA,52450988,1992-05-22,2009-09-30,57,"00665","qw",NA,153049,1992-05-22,2009-09-30,71
"13","06795500","Shell Creek near Columbus, Nebr.","10200201","ST",41.5261111,-97.2816667,"00060","uv",NA,1645423,1990-10-01,2019-10-31,10622,"00600","qw",NA,52450988,1992-05-22,2009-09-30,57,"00665","qw",NA,153049,1992-05-22,2009-09-30,71
"14","06796000","Platte River at North Bend, Nebr.","10200201","ST",41.45277778,-96.7755556,"00060","dv","00003",1645423,1949-04-01,2019-10-30,25774,"00600","qw",NA,52450988,1973-05-02,1989-09-07,203,"00665","qw",NA,153049,1970-03-05,2011-06-30,205
"15","06796000","Platte River at North Bend, Nebr.","10200201","ST",41.45277778,-96.7755556,"00060","uv",NA,1645423,1989-04-09,2019-10-31,11162,"00600","qw",NA,52450988,1973-05-02,1989-09-07,203,"00665","qw",NA,153049,1970-03-05,2011-06-30,205
"16","06803080","Salt Creek at Pioneers Boulevard at Lincoln, Nebr.","10200203","ST",40.77027778,-96.7188889,"00060","dv","00003",1645423,1994-08-18,2019-10-30,9205,"00600","qw",NA,52450988,1971-08-12,1996-08-05,186,"00665","qw",NA,153049,1971-03-16,2013-11-06,199
"17","06803080","Salt Creek at Pioneers Boulevard at Lincoln, Nebr.","10200203","ST",40.77027778,-96.7188889,"00060","uv",NA,1645423,1994-08-19,2019-10-31,9204,"00600","qw",NA,52450988,1971-08-12,1996-08-05,186,"00665","qw",NA,153049,1971-03-16,2013-11-06,199
"18","06803500","Salt Creek at 27th Street at Lincoln, Nebr.","10200203","ST",40.84666667,-96.6816667,"00060","dv","00003",1645423,1949-10-01,2019-10-30,25585,"00600","qw",NA,52450988,1968-10-16,1995-08-30,137,"00665","qw",NA,153049,1969-10-23,1995-08-30,126
"19","06803500","Salt Creek at 27th Street at Lincoln, Nebr.","10200203","ST",40.84666667,-96.6816667,"00060","uv",NA,1645423,1991-08-05,2019-10-31,10314,"00600","qw",NA,52450988,1968-10-16,1995-08-30,137,"00665","qw",NA,153049,1969-10-23,1995-08-30,126
"20","06803530","Rock Creek near Ceresco, Nebr.","10200203","ST",41.0158333,-96.5441667,"00060","dv","00003",1645423,1970-04-01,2019-10-30,18110,"00600","qw",NA,52450988,1971-03-16,1980-08-13,59,"00665","qw",NA,153049,1971-03-16,2009-08-03,51
"21","06803530","Rock Creek near Ceresco, Nebr.","10200203","ST",41.0158333,-96.5441667,"00060","uv",NA,1645423,1990-10-01,2019-10-31,10622,"00600","qw",NA,52450988,1971-03-16,1980-08-13,59,"00665","qw",NA,153049,1971-03-16,2009-08-03,51
"22","06803555","Salt Creek at Greenwood, Nebr.","10200203","ST",40.96555556,-96.4544444,"00060","dv","00003",1645423,1951-11-01,2019-10-30,24834,"00600","qw",NA,52450988,1971-07-27,1995-03-16,144,"00665","qw",NA,153049,1971-07-27,1995-03-16,148
"23","06803555","Salt Creek at Greenwood, Nebr.","10200203","ST",40.96555556,-96.4544444,"00060","uv",NA,1645423,1990-10-01,2019-10-31,10622,"00600","qw",NA,52450988,1971-07-27,1995-03-16,144,"00665","qw",NA,153049,1971-07-27,1995-03-16,148
"24","06805000","Salt Creek Near Ashland, Nebr.","10200203","ST",41.05166667,-96.3386111,"00060","dv","00003",1645423,1947-10-01,1969-09-29,8035,"00600","qw",NA,52450988,1971-09-30,2019-07-24,68,"00665","qw",NA,153049,1971-09-30,2019-07-24,68
