"site_lab","site_nm","huc4","slope","p"
"1","Platte River Near Overton, NE","1020","-0.003","0.0037"
"2","Platte River At Louisville, NE","1020","-0.004","0.0078"
"3","Dismal River Near Thedford, NE","1021","0.000","0.8046"
"4","Beaver Creek At Genoa, NE","1021","-0.004","0.1981"
"5","Maple Creek Near Nickerson, NE","1022","-0.028","0.0018"
"6","Elkhorn River At Waterloo, NE","1022","0.000","0.9112"
"7","Missouri River At Omaha, NE","1023","-0.006","0.0000"
"8","Boyer River At Logan, IA","1023","-0.012","1e-04"
"9","Nishnabotna River Above Hamburg, IA","1024","-0.010","0.0000"
"10","Missouri River At St. Joseph, MO","1024","-0.004","0.0000"
"11","Republican River Near Orleans, NE","1025","-0.004","0.1393"
"12","Republican R At Clay Center, KS","1025","0.004","0.0202"
"13","Smoky Hill R At Enterprise, KS","1026","-0.002","0.2266"
"14","Sf Solomon R At Osborne, KS","1026","-0.014","0.0564"
"15","Kansas R At Wamego, KS","1027","-0.003","0.0059"
"16","Kansas R At Desoto, KS","1027","-0.003","0.0072"
"17","Grand River Near Sumner, MO","1028","0.000","0.9158"
"18","Chariton River Near Prairie Hill, MO","1028","-0.002","0.2001"
"19","Pomme De Terre River Near Polk, MO","1029","-0.002","0.7976"
"20","Osage River Below St. Thomas, MO","1029","-0.003","0.7693"
"21","Little Blue River Near Lake City, MO","1030","-0.012","0.0090"
"22","Missouri River At Hermann, MO","1030","-0.003","0.0000"
